dal_azon;cim;hely_azon;hangszer1;hangszer2;hangszer3;hangszer4;hangszer5;hangszer6;hangszer7;hangszer8;mufaj1;mufaj2;mufaj3;mufaj4;tanc;felvetel_azon;youtube_id;kezdete;vege
792;min-orkizesai-vre-pseftra;13;Voice;Violin;Santouri;Percussion;Laouto;Klarino;;;Urban-folk;Mikrasiatiko;;;1;792;U6oWHEVNvfY;5805;6055
793;min-ta-argioplekeis-rina-m-ta-mallia;63;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Central-Greek;;;1;793;00SbCAkyXhQ;3506;3738
794;misemos;22;Voice;Violin;Santouri;Laouto;Guitar;;;;Traditional;Nisiotiko;Aegean;;1;794;CPLOoAZonTI;2912;3071
795;mitraina;26;Voice;;;;;;;;Traditional;Peloponnesian;;;0;795;o4XzhbCL0QM;3695;3840
796;mo-ta-masaira;37;Violin;Santouri;Percussion;Oud;Kanonaki;;;;Traditional;Mikrasiatiko;;;1;796;5fJXkyrSxo4;5996;6098
797;moiazeis-ki-esy-sa-thalassa;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;797;zkoqg3VRVLA;5516;5733
798;moiroloi-2;71;Violin;Laouto;Klarino;Guitar;Bass;;;;Traditional;Epirotic;;;0;798;g4hypPA6D9Y;4999;5117
799;moiroloi-3;71;Violin;Tambouras;Percussion;Laouto;;;;;Traditional;Epirotic;;;0;799;vzCauXf6VhE;1443;1655
800;moiroloi-4;71;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;800;ifRo_Z05kuQ;1900;2116
801;moiroloi-6;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;801;qrOwc1mLFUk;3;344
802;moiroloi-7;71;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;802;KzKkszPd-eM;10;162
803;moiroloi-8;71;Violin;Laouto;;;;;;;Traditional;Epirotic;;;0;803;EoJoqvZukgw;4544;4664
804;moiroloi-f-rounta;71;Violin;Laouto;Klarino;Guitar;;;;;Traditional;Epirotic;;;0;804;G9DwnuVgsVs;3185;3397
805;moiroloi-tasou-chalkia;71;Violin;Laouto;Klarino;Guitar;;;;;Traditional;Epirotic;;;0;805;G9DwnuVgsVs;610;791
806;moiroloi-v-batzi;71;Violin;Laouto;Klarino;Guitar;;;;;Traditional;Epirotic;;;0;806;G9DwnuVgsVs;4293;4409
807;monos-2-4;73;Voice;Percussion;Lyra;;;;;;Traditional;Pontian;;;1;807;LL6pe_UtAe0;2791;2900
808;mor-armna-mor-mousiata-mor-vlacha-emorfi;12;Voice;;;;;;;;Traditional;Epirotic;Vlachic;;1;808;wFOvhBpFM1o;609;705
809;mou-fainetai;;Voice;Violin;Santouri;Percussion;Laouto;Guitar;;;Rebetiko;;;;0;809;0cj8BNcAhg4;5596;5809
810;mou-fainetai-2;;Voice;Santouri;Guitar;Bouzouki;Accordion;;;;Rebetiko;;;;0;810;YsKwj2MazAI;593;811
811;mou-paringeile-to-aidoni;;Voice;Guitar;;;;;;;Traditional;Arrangement;;;0;811;2_xwDiunBrs;1438;1671
812;mouriki;27;Trumpet;Trombone;Percussion;Klarino;Accordion;;;;Traditional;Macedonian;;;1;812;dIqJ-N3_Tso;5152;5313
813;na-cha-krasaki-na-pina;11;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Macedonian;Vlachic;;1;813;gMz1OBS9FlQ;4901;5103
814;na-giati-trigyrno;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;814;YEPmaDr_UMA;1223;1435
815;na-souna-edo-apopse;;Voice;Tambouras;Percussion;Ney;Guitar;;;;Newer;;;;0;815;XpfvGga-5tU;1569;1713
816;na-tan-o-mais-fthinoporo;20;Voice;;;;;;;;Traditional;Peloponnesian;;;0;816;6bLFhgwoKsY;2174;2285
817;nacha-ti-chari-sou-aite;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;817;qrOwc1mLFUk;3250;3396
818;nallaxo-thelo-to-skopo;22;Voice;Violin;Percussion;Laouto;Bass;;;;Traditional;Nisiotiko;Aegean;;0;818;V-8YVU5FnTo;2141;2362
819;nanourisma;20;Voice;;;;;;;;Traditional;Peloponnesian;;;0;819;6bLFhgwoKsY;327;403
820;naparte-nti-mar-al-laie;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;820;qrOwc1mLFUk;2244;2403
821;nasam-aleyna;80;Voice;Percussion;Oud;Ney;Kanonaki;Bass;;;Traditional;Arabic;;;0;821;k_U5rTSHIMo;3607;3814
822;nea-kolektiva;13;Voice;Violin;Guitar;Cimbalom;Bass;Accordion;;;Urban-folk;Mikrasiatiko;;;0;822;TpK-XXFl51o;6036;6244
823;neiata;63;Voice;Violin;Percussion;Laouto;Klarino;Guitar;Bass;;Traditional;Central-Greek;;;0;823;g4hypPA6D9Y;2099;2229
824;nenitousikos;5;Violin;Santouri;Percussion;Laouto;;;;;Traditional;Nisiotiko;Aegean;;1;824;_mUIVNdIJFU;2967;3239
825;neoi-chasiklides-2;;Voice;Mandolin;Guitar;Bass;Accordion;;;;Rebetiko;;;;0;825;VrnG_gxNwH8;1622;1831
826;nerantzia-sta-tria;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;826;ifRo_Z05kuQ;3492;3567
827;nfloara-gkalbinioara-ena-louloudi-kitrino;12;Voice;;;;;;;;Traditional;Epirotic;Vlachic;;0;827;wFOvhBpFM1o;245;340
828;ni-kai-ntre;18;Violin;Laouto;Bass;;;;;;Traditional;Nisiotiko;Aegean;;0;828;V-8YVU5FnTo;4819;4949
829;nia-poulia-einai-ston-arano-kleistos-choros;63;Voice;;;;;;;;Traditional;Central-Greek;;;1;829;00SbCAkyXhQ;2402;2654
830;nihavent-longa;78;Violin;Percussion;Oud;Guitar;Bass;;;;Traditional;Turkish;;;0;830;g4hypPA6D9Y;3369;3548
831;niil-vntara-mou-painepsane-metsovitikos;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;1;831;wFOvhBpFM1o;4635;4834
832;nikriz-longka;19;Percussion;Oud;Lyra;Laouto;Kanonaki;;;;Traditional;Mikrasiatiko;Politiko;;0;832;4mMJSlECbh4;5776;5818
833;nikriz-sirto;65;Voice;Percussion;Oud;Ney;Lyra;Kanonaki;Bass;;Traditional;Mikrasiatiko;;;0;833;Dd0IreIlLJE;4948;5035
834;nine-nane;66;Voice;Violin;Guitar;;;;;;Traditional;Southern-Italian;;;0;834;l2gUntzxeVc;1900;2092
835;niochorianos-syrtos;72;Voice;Tambouras;Percussion;Guitar;Floghera;;;;Traditional;Nisiotiko;Cretan;;0;835;XpfvGga-5tU;4886;5085
836;nitsa;64;Trumpet;Trombone;Percussion;Klarino;Accordion;;;;Traditional;Macedonian;;;1;836;dIqJ-N3_Tso;2263;2493
837;ntervisaina;;Voice;Violin;Santouri;Laouto;Kanonaki;Guitar;;;Rebetiko;;;;0;837;0cj8BNcAhg4;3823;3963
838;nti-kou-niika;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;1;838;niplI7Bv-30;3979;4182
839;ntirlanta-tsimarista-disticha;6;Voice;Violin;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;839;-Lae0QmE15A;5908;6094
840;nto-ta-pres;;Voice;Violin;Percussion;Oud;Klarino;Guitar;Bass;;Traditional;Arvanitic;;;1;840;g4hypPA6D9Y;4064;4140
841;ntoina;17;Violin;Laouto;Klarino;Guitar;;;;;Traditional;Epirotic;;;0;841;GIOAt5GHt3I;42;126
842;ntomna;62;Voice;Tsampouna;Percussion;Oud;Klarino;Kanonaki;;;Traditional;Thracian;;;1;842;6ZDyC-wpRXM;4623;4735
843;ntounia-anakriti;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;843;YEPmaDr_UMA;3117;3309
844;nychtose-kai-sto-genti;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;1;844;tzCMruLs9bM;1904;2193
845;nyfiatiko;7;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;845;KzKkszPd-eM;1029;1311
846;nyfiatikos;7;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;846;ifRo_Z05kuQ;1088;1288
847;nyfiatikos-2;24;Voice;Violin;Laouto;Guitar;;;;;Traditional;Nisiotiko;Aegean;;1;847;Uijl65qxrrg;2693;2944
848;o-anapiros-giorgos-mitsakis;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Rebetiko;;;;0;848;L3fe3KGksU8;3523;3720
849;o-antonis-o-varkaris-o-seretis;;Voice;Guitar;Bouzouki;Baglamas;;;;;Rebetiko;;;;1;849;IzjFkYASGbY;5534;5743
850;o-arapis;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;850;pxhw04LZhiY;2244;2615
851;o-artemis;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;851;vl46xtCpsEw;5989;6231
852;o-chtypos-tis-kardias-apostolos-kaldaras;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;852;L3fe3KGksU8;1107;1319
853;o-dervisis-kai-i-anna;;Voice;Santouri;Guitar;Bouzouki;Accordion;;;;Rebetiko;;;;0;853;YsKwj2MazAI;1462;1684
854;o-diamantenios-sou-stavros;64;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Macedonian;;;1;854;5z-ZGft2zCI;2873;2946
855;o-dyosmos-ki-o-vasilikos;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;855;8gH9iexkXME;3156;3366
856;o-dyosmos-ki-o-vasilikos-2;68;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Thessalic;;;1;856;GIOAt5GHt3I;4008;4175
857;o-gazianakis;4;Voice;;;;;;;;Traditional;Nisiotiko;Ionian;;1;857;t60GoECE0p8;3761;3898
858;o-giannaros;24;Voice;Violin;Santouri;Guitar;;;;;Traditional;Nisiotiko;Aegean;;1;858;Uijl65qxrrg;4559;4815
859;o-gyrismos;;Voice;Guitar;Bouzouki;Bass;Baglamas;Accordion;;;Rebetiko;;;;0;859;ysRZQuuew_A;1940;2153
860;o-htypos-tis-kardias-mou;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;860;vl46xtCpsEw;3249;3456
861;o-ilios-vasilevei;63;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Central-Greek;;;1;861;GIOAt5GHt3I;6161;6452
862;o-mais;48;Voice;Violin;Laouto;Bass;;;;;Traditional;Nisiotiko;Aegean;;0;862;V-8YVU5FnTo;4469;4724
863;o-metanastis;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;863;ysRZQuuew_A;4234;4457
864;o-naftis;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;864;q9e6UQh6d0c;5318;5542
865;o-nikolas-o-psaras;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;865;YEPmaDr_UMA;4210;4404
866;o-papatzis;;Voice;Violin;Santouri;Laouto;Kanonaki;Guitar;;;Rebetiko;;;;0;866;0cj8BNcAhg4;3343;3573
867;o-pasas;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;0;867;tzCMruLs9bM;5728;5918
868;o-platanos-vaios-malliaras;63;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Central-Greek;;;1;868;G9DwnuVgsVs;1730;1835
869;o-ponos-me-plimmyrise-giorgos-mitsakis-thodoros-derveniotis;;Voice;Piano;Guitar;Bouzouki;Bass;Baglamas;Accordion;;Laiko;;;;0;869;L3fe3KGksU8;1801;2014
870;o-spinos;5;Voice;Kanonaki;;;;;;;Traditional;Nisiotiko;Aegean;;0;870;J-PqcxTXtp4;1574;1742
871;o-thymios-choros-stavrotos;63;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Central-Greek;;;1;871;00SbCAkyXhQ;3796;4032
872;o-travmatias;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;0;872;tzCMruLs9bM;1620;1829
873;o-vrachos;30;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;873;jpktBKou-_E;4663;4801
874;oi-glaroi;;Voice;Violin;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;874;q9e6UQh6d0c;5573;5776
875;oi-kleftes;29;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;875;niplI7Bv-30;4647;4977
876;oi-kleftes-2;29;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;876;cYE9_TXCmHs;2043;2375
877;oi-meres-tis-vdomadas;70;Voice;Violin;Mandolin;Laouto;Guitar;;;;Traditional;Nisiotiko;Ionian;;0;877;Aws0Y3aLaIs;2273;2490
878;oi-syntrofisses;64;Voice;Trumpet;Trombone;Percussion;Klarino;Accordion;;;Traditional;Macedonian;;;1;878;dIqJ-N3_Tso;2498;2638
879;oi-thalassinoi;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;1;879;q9e6UQh6d0c;6303;6465
880;olis-oi-nyfis-stou-chouro-angelina-paschaliatiko;11;Voice;;;;;;;;Traditional;Macedonian;;;1;880;gMz1OBS9FlQ;4370;4542
881;olmaz;13;Voice;Percussion;Oud;;;;;;Traditional;Mikrasiatiko;;;0;881;-YUXPO1BSRw;502;753
882;olmaz-meli-m-asias;65;Voice;Violin;Percussion;Laouto;Klarino;Kanonaki;;;Traditional;Mikrasiatiko;;;1;882;kJl_glSyJMo;5499;5686
883;oloi-oi-rebetes-tou-ntounia-markos-vamvakaris;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;883;L3fe3KGksU8;6159;6407
884;omal-aplon;73;Voice;Percussion;Lyra;;;;;;Traditional;Pontian;;;1;884;LL6pe_UtAe0;43;177
885;omal-kars;73;Voice;Percussion;Lyra;Laouto;;;;;Traditional;Pontian;;;1;885;VmaUraZpvI8;3552;3787
886;omal-kerasountas;73;Voice;Percussion;Lyra;Laouto;Floghera;;;;Traditional;Pontian;;;1;886;VmaUraZpvI8;6344;6616
887;omal-kioumous-maten;73;Percussion;Lyra;;;;;;;Traditional;Pontian;;;1;887;VmaUraZpvI8;3084;3179
888;omalin;73;Voice;Percussion;Lyra;;;;;;Traditional;Pontian;;;1;888;LL6pe_UtAe0;2366;2509
889;omalin-nikopolis;73;Voice;Percussion;Lyra;;;;;;Traditional;Pontian;;;1;889;VmaUraZpvI8;4506;4693
890;omologies-2;;Voice;Violin;Santouri;Percussion;Klarino;Guitar;;;Laiko;;;;0;890;vJ4F64WkQA0;433;577
891;omorfi-kai-paraxeni-patrida;;Voice;Piano;Mandolin;Guitar;Bass;Accordion;;;Newer;Melodized-poetry;;;0;891;cKXi8_5_Rd4;5675;5873
892;omorfi-pou-nai-i-labri;65;Voice;Violin;Santouri;Laouto;Bass;;;;Traditional;Mikrasiatiko;;;1;892;q9e6UQh6d0c;383;530
893;omorfi-prosfygopoula;2;Voice;Violin;Santouri;Percussion;Oud;Klarino;Guitar;;Traditional;Nisiotiko;Aegean;;0;893;mp1pK6b1Oho;4346;4623
894;oneiro-to-da-pos-tha-rtheis;72;Voice;Percussion;Lyra;Laouto;Guitar;Bass;;;Traditional;Nisiotiko;Cretan;;0;894;lBs4PyiRsIY;5951;6244
895;ontas-kalogennithika;;Voice;Violin;Santouri;Percussion;Laouto;Klarino;;;Traditional;Sarakatsani;;;1;895;cYE9_TXCmHs;6191;6506
896;opa-magka;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;896;YEPmaDr_UMA;6009;6138
897;opoios-agapaei-ta-roda;;Voice;Violin;Santouri;Percussion;Guitar;;;;Rebetiko;;;;1;897;0cj8BNcAhg4;6258;6500
898;opote-s-apothymisa;;Voice;Piano;Mandolin;Bass;;;;;Newer;;;;0;898;lBs4PyiRsIY;3170;3388
899;opou-giorgos-kai-malama;;Voice;Guitar;Bouzouki;Accordion;;;;;Rebetiko;;;;0;899;GQoE6eVqP38;6301;6474
900;opseis-tis-psychis;;Laouto;;;;;;;;Newer;;;;0;900;tbbAWeVEHFQ;758;1023
901;ora-kali-poulaki-mou;62;Voice;Percussion;Oud;Ney;Lyra;Laouto;Kanonaki;Bass;Traditional;Thracian;;;0;901;Dd0IreIlLJE;6465;6676
902;oria-mou-fenesai;66;Voice;Mandolin;Guitar;Accordion;;;;;Traditional;Southern-Italian;;;0;902;l2gUntzxeVc;3118;3286
903;oria-mou-pissulina;66;Voice;Guitar;;;;;;;Traditional;Southern-Italian;Polyphonic;;0;903;l2gUntzxeVc;2873;3018
904;orligkas-tsamikos;11;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Macedonian;Vlachic;;1;904;gMz1OBS9FlQ;2084;2238
905;osa-chronia-ki-an-perasoun-giannis-tatasopoulos;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Rebetiko;;;;0;905;L3fe3KGksU8;4477;4674
906;osmantakas;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;906;ifRo_Z05kuQ;3647;3931
907;osmantakas-2;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;907;qrOwc1mLFUk;5942;6113
908;oso-gyrizei-i-sfaira-kyries-tou-paxim;13;Voice;Violin;Guitar;Cimbalom;Bass;Accordion;;;Urban-folk;Mikrasiatiko;;;0;908;TpK-XXFl51o;3973;4200
909;oso-varoun-ta-sidera;72;Voice;Percussion;Ney;Lyra;Laouto;Kanonaki;Bass;;Traditional;Nisiotiko;Cretan;;0;909;Dd0IreIlLJE;2891;2983
910;oso-vathia-einai-i-thalassa;65;Voice;Tambouras;Oud;;;;;;Traditional;Mikrasiatiko;;;0;910;vd8WTrc12Uo;4217;4430
911;osoi-me-vlepoun-pou-glento-chitzaz-manes;65;Voice;Violin;Santouri;Laouto;Kanonaki;Guitar;;;Rebetiko;Mikrasiatiko;;;0;911;0cj8BNcAhg4;5895;6067
912;otan-moun-nios-kai-pallikari;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;912;wFOvhBpFM1o;5888;6132
913;otan-pernoun-oi-geranoi;;Voice;Piano;Percussion;Ney;Laouto;Guitar;Bass;;Newer;;;;0;913;lBs4PyiRsIY;3398;3568
914;ouna-souta-ekato-nomataioi-syrto-sta-tria;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;1;914;wFOvhBpFM1o;2925;3045
915;p-archontiko;62;Voice;Violin;Tsampouna;Percussion;Oud;Lyra;Accordion;;Traditional;Thracian;;;0;915;fooYiNew79E;1585;1849
916;pagkratiotissa;;Voice;Santouri;Guitar;Bouzouki;Accordion;;;;Rebetiko;;;;0;916;YsKwj2MazAI;875;1067
917;paidia-m-giat-eiste-analaga;;Voice;Violin;Santouri;Percussion;Laouto;Klarino;;;Traditional;Sarakatsani;;;1;917;cYE9_TXCmHs;5196;5509
918;paidia-tis-samarinas;11;Voice;;;;;;;;Traditional;Macedonian;;;0;918;cYE9_TXCmHs;5608;5698
919;painemata;65;Voice;Laouto;Kanonaki;;;;;;Traditional;Mikrasiatiko;;;0;919;J-PqcxTXtp4;2517;2650
920;palatia-chrysostolista;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;1;920;pxhw04LZhiY;1557;1739
921;pali-se-vlepo-skeptiko;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;0;921;tzCMruLs9bM;2209;2405
922;pali-tragoudi-tha-sou-po;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;922;YEPmaDr_UMA;1000;1196
923;palia-geitonia-manos-chatzidakis-alekos-sakellarios;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Laiko;;;;0;923;L3fe3KGksU8;4163;4347
924;palia-genovefa;7;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;924;KzKkszPd-eM;1839;2119
925;palia-itia;40;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;925;qrOwc1mLFUk;4551;4653
926;palio-zagorisio;16;Percussion;Laouto;Klarino;;;;;;Traditional;Epirotic;;;0;926;tbbAWeVEHFQ;5549;5755
927;palios-karsilamas;2;Violin;Santouri;Guitar;;;;;;Traditional;Nisiotiko;Aegean;;1;927;mp1pK6b1Oho;2185;2351
928;palios-vlachothanasis;;Voice;Violin;Santouri;Percussion;Laouto;Klarino;;;Traditional;Sarakatsani;;;1;928;cYE9_TXCmHs;1786;1986
929;pame-paidia-na-fygoume;65;Voice;Percussion;;;;;;;Traditional;Mikrasiatiko;;;1;929;-YUXPO1BSRw;5989;6095
930;pame-sta-bouzoukia;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;930;zkoqg3VRVLA;2904;3073
931;pame-sto-faliro;;Voice;Guitar;Bouzouki;Baglamas;;;;;Rebetiko;;;;1;931;IzjFkYASGbY;6162;6394
932;panagia;52;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;932;jpktBKou-_E;1910;2010
933;panagio;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Polyphonic;;1;933;UaYoyQPZEuo;3323;3491
934;panagiotoula;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;934;niplI7Bv-30;4206;4511
935;panagioula;63;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Central-Greek;Arvanitic;;1;935;GIOAt5GHt3I;5736;5830
936;pane-ta-traina-ki-erchontai;;Voice;Guitar;Bouzouki;Bass;Baglamas;Accordion;;;Rebetiko;;;;0;936;ysRZQuuew_A;1336;1525
937;pano-choros-karpathos;50;Voice;Violin;Tsampouna;Santouri;Percussion;Laouto;;;Traditional;Nisiotiko;Aegean;;0;937;U6oWHEVNvfY;3801;3875
938;pano-ston-apano-pyrgo-strotos;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;938;gMz1OBS9FlQ;1230;1476
939;papadia;71;Violin;Tambouras;Percussion;Ney;Laouto;Bass;;;Traditional;Epirotic;;;0;939;vzCauXf6VhE;3843;4195
940;papadia-2;15;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;0;940;qrOwc1mLFUk;5601;5812
941;papadopoula-vasilis-saleas;63;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Central-Greek;;;1;941;G9DwnuVgsVs;5518;5687
942;papor;73;Voice;Percussion;Lyra;;;;;;Traditional;Pontian;;;1;942;LL6pe_UtAe0;1177;1318
943;paraponiara-mou;13;Voice;Violin;Santouri;Percussion;Oud;Guitar;;;Urban-folk;Mikrasiatiko;;;0;943;5fJXkyrSxo4;5128;5334
944;paraponiarika-paidia;;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Sarakatsani;;;1;944;FXS9jCtkFLk;5203;5439
945;pare-mario-ti-roka-sou;63;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Central-Greek;;;1;945;GIOAt5GHt3I;1421;1580
946;pare-pia-to-dromo-sou;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;946;zkoqg3VRVLA;3538;3596
947;pare-to-dachtylidi-mou;;Voice;Guitar;Bouzouki;Accordion;;;;;Laiko;;;;0;947;GQoE6eVqP38;4523;4728
948;pare-to-dakry-mou;;Voice;Guitar;;;;;;;Urban-folk;Urban-light;;;0;948;vd8WTrc12Uo;3572;3770
949;pasas;13;Voice;Percussion;Oud;Lyra;;;;;Traditional;Mikrasiatiko;;;0;949;-YUXPO1BSRw;1723;1902
950;pasobeis;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;950;UaYoyQPZEuo;1578;1822
951;pathos;3;Voice;Lyra;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;951;4mMJSlECbh4;1351;1531
952;patima-limnou-2;52;Voice;Violin;Santouri;Laouto;Bass;;;;Traditional;Nisiotiko;Aegean;;1;952;q9e6UQh6d0c;3140;3334
953;patinada;44;Zournas;Percussion;;;;;;;Traditional;Central-Greek;;;1;953;5z-ZGft2zCI;1271;1338
954;patinada-chalkidikis;21;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Macedonian;;;0;954;4yPS8r0qVTw;6040;6179
955;patinada-lefkadas;53;Violin;Santouri;Percussion;Laouto;Klarino;;;;Traditional;Nisiotiko;Ionian;;0;955;cYE9_TXCmHs;4583;4726
956;patinada-tis-avgis;30;Violin;Santouri;Laouto;Klarino;;;;;Traditional;Nisiotiko;Aegean;;1;956;U6oWHEVNvfY;2589;2739
957;patitos;5;Violin;Percussion;Oud;Klarino;Kanonaki;;;;Traditional;Nisiotiko;Aegean;;1;957;J-PqcxTXtp4;3764;3894
958;patitos-chiou;5;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;958;jpktBKou-_E;780;812
959;patrounino-makedonias;64;Violin;Percussion;Ney;Laouto;Bass;;;;Traditional;Macedonian;;;0;959;V-8YVU5FnTo;4;245
960;peiraiotissa;;Voice;Guitar;Bouzouki;Baglamas;;;;;Rebetiko;;;;0;960;IzjFkYASGbY;3084;3273
961;penies-tis-athinas;;Guitar;Bouzouki;Bass;Baglamas;Accordion;;;;Rebetiko;;;;0;961;ysRZQuuew_A;2961;3152
962;pentamorfi;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;962;YEPmaDr_UMA;2030;2228
963;pente-ellines-ston-adi;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;0;963;cKXi8_5_Rd4;2807;3111
964;pente-magkes-ston-peraia;;Voice;Guitar;Bouzouki;Baglamas;;;;;Rebetiko;;;;0;964;IzjFkYASGbY;644;841
965;pente-paidia-malonane;69;Voice;Violin;Santouri;Laouto;Klarino;Guitar;;;Traditional;Peloponnesian;;;1;965;5z-ZGft2zCI;550;686
966;pente-palikaria-gkainta-dipli;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;966;KzKkszPd-eM;2312;2522
967;pentozali;72;Voice;Percussion;Ney;Lyra;Laouto;Kanonaki;Bass;;Traditional;Nisiotiko;Cretan;;0;967;Dd0IreIlLJE;3040;3133
968;pentozali-kefalou;32;Violin;Laouto;;;;;;;Traditional;Nisiotiko;Aegean;;1;968;CJ7m2WduEh8;5955;6069
969;pentozali-ko;32;Violin;Laouto;;;;;;;Traditional;Nisiotiko;Aegean;;1;969;CJ7m2WduEh8;6069;6175
970;pentozalis;72;Violin;Tambouras;Laouto;Guitar;Floghera;;;;Traditional;Nisiotiko;Cretan;;1;970;6ZDyC-wpRXM;4113;4225
971;pentozalis-anatolikis-kritis;72;Violin;Laouto;Guitar;;;;;;Traditional;Nisiotiko;Cretan;;1;971;e206O9UMfN0;5597;5848
972;pera-s-ekeino-to-vouno;;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Sarakatsani;;;0;972;FXS9jCtkFLk;1181;1316
973;pera-stin-tripolitsa;26;Zournas;Voice;Percussion;;;;;;Traditional;Peloponnesian;;;1;973;o4XzhbCL0QM;1064;1313
